index ,subject ,RT,accuracy_nonword,accuracy_word,acc
101,193293,587,1,,1
102,193293,650,1,,1
103,193293,663,,1,1
104,193293,694,1,,1
105,193293,514,,1,1
106,193293,505,1,,1
107,193293,536,,1,1
108,193293,580,1,,1
109,193293,459,1,,1
110,193293,654,,1,1
111,193293,636,,1,1
112,193293,544,1,,1
113,193293,742,1,,1
114,193293,791,1,,1
115,193293,549,,1,1
116,193293,785,1,,1
117,193293,549,,1,1
118,193293,573,1,,1
119,193293,687,0,,0
120,193293,645,,1,1
121,193293,544,1,,1
122,193293,841,,0,0
123,193293,560,,1,1
124,193293,697,,1,1
125,193293,545,1,,1
126,193293,507,,1,1
127,193293,614,1,,1
128,193293,488,,1,1
129,193293,736,1,,1
130,193293,772,1,,1
131,193293,518,1,,1
132,193293,743,,1,1
133,193293,471,1,,1
134,193293,475,1,,1
135,193293,450,1,,1
136,193293,457,,0,0
137,193293,551,1,,1
138,193293,622,,1,1
139,193293,591,1,,1
140,193293,560,1,,1
141,193293,496,,0,0
142,193293,628,,1,1
143,193293,586,,1,1
144,193293,509,,1,1
145,193293,645,1,,1
146,193293,471,,1,1
147,193293,465,,1,1
148,193293,644,1,,1
149,193293,510,1,,1
150,193293,753,1,,1
151,193293,875,1,,1
152,193293,593,1,,1
153,193293,558,,1,1
154,193293,605,1,,1
155,193293,550,,1,1
156,193293,559,1,,1
157,193293,591,1,,1
158,193293,685,,1,1
159,193293,1144,0,,0
160,193293,1035,,0,0
161,193293,563,,1,1
162,193293,619,,1,1
163,193293,592,1,,1
164,193293,867,,1,1
165,193293,601,1,,1
166,193293,525,,1,1
167,193293,506,1,,1
168,193293,527,,1,1
169,193293,588,,1,1
170,193293,827,,1,1
171,193293,759,,0,0
172,193293,691,,1,1
173,193293,780,,0,0
174,193293,1140,1,,1
175,193293,614,1,,1
176,193293,660,0,,0
177,193293,671,,1,1
178,193293,552,1,,1
179,193293,576,,1,1
180,193293,583,,1,1
181,193293,1091,1,,1
182,193293,538,,1,1
183,193293,809,0,,0
184,193293,624,0,,0
185,193293,814,,1,1
186,193293,880,,1,1
187,193293,548,,1,1
188,193293,671,0,,0
189,193293,624,,1,1
190,193293,600,,1,1
191,193293,543,1,,1
192,193293,714,1,,1
193,193293,547,,1,1
194,193293,674,1,,1
195,193293,618,1,,1
196,193293,563,,1,1
197,193293,518,1,,1
198,193293,531,,1,1
199,193293,608,,1,1
200,193293,684,,1,1
